cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
F,bt12,mass,0.11547819846894582,0.1333521432163324,0.12409377607517195,0.7320357465036408,0.9214071431650958,72424,15,0.01
F,bt12,mass,0.1333521432163324,0.1539926526059492,0.14330125702369628,0.7944758752238978,1.0,72424,15,0.01
F,bt12,mass,0.1539926526059492,0.1778279410038923,0.16548170999431816,0.7872724873696997,0.9909331572186907,72424,15,0.01
F,bt12,mass,0.1778279410038923,0.2053525026457146,0.19109529749704407,0.655031162282717,0.8244821305594927,72424,15,0.01
F,bt12,mass,0.2053525026457146,0.23713737056616552,0.220673406908459,0.411485091781608,0.5179327712948414,72424,15,0.01
F,bt12,mass,0.23713737056616552,0.27384196342643613,0.25482967479793467,0.05749098844741792,0.07236341623490569,72424,15,0.01
F,bt12,mass,0.27384196342643613,0.31622776601683794,0.2942727176209282,0.0,0.0,72424,15,0.01
F,bt12,mass,0.31622776601683794,0.3651741272548377,0.33982083289425596,0.0,0.0,72424,15,0.01
F,bt12,mass,0.3651741272548377,0.4216965034285822,0.3924189758484536,0.0,0.0,72424,15,0.01
F,bt12,mass,0.4216965034285822,0.4869675251658631,0.4531583637600818,0.0,0.0,72424,15,0.01
F,bt12,mass,0.4869675251658631,0.5623413251903491,0.5232991146814947,0.0,0.0,72424,15,0.01
F,bt12,mass,0.5623413251903491,0.6493816315762113,0.6042963902381329,0.0,0.0,72424,15,0.01
F,bt12,mass,0.6493816315762113,0.7498942093324559,0.6978305848598664,0.0,0.0,72424,15,0.01
F,bt12,mass,0.7498942093324559,0.8659643233600653,0.8058421877614819,0.0,0.0,72424,15,0.01
F,bt12,mass,0.8659643233600653,1.0,0.930572040929699,0.0,0.0,72424,15,0.01
F,conservative,mass,0.01,0.011547819846894581,0.010746078283213174,0.011545923653126546,0.01461500738040489,72424,20,0.01
F,conservative,mass,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.01792568974453663,0.02269061322298869,72424,20,0.01
F,conservative,mass,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.024106711225016793,0.030514645086493743,72424,20,0.01
F,conservative,mass,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.03265942419719057,0.041340800443666566,72424,20,0.01
F,conservative,mass,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.04594431274108808,0.058157016274466886,72424,20,0.01
F,conservative,mass,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.057620426792688174,0.0729368206595734,72424,20,0.01
F,conservative,mass,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.07354654475607116,0.09309634523022231,72424,20,0.01
F,conservative,mass,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.09434817626134821,0.11942736967725838,72424,20,0.01
F,conservative,mass,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.1289582140716377,0.1632372867726741,72424,20,0.01
F,conservative,mass,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.16364174912184706,0.20714023780250154,72424,20,0.01
F,conservative,mass,0.042169650342858224,0.04869675251658631,0.04531583637600818,0.2108529773953846,0.26690093520403746,72424,20,0.01
F,conservative,mass,0.04869675251658631,0.05623413251903491,0.05232991146814947,0.2634333997713336,0.3334580409130473,72424,20,0.01
F,conservative,mass,0.05623413251903491,0.06493816315762113,0.060429639023813285,0.3192984884295451,0.40417292761902696,72424,20,0.01
F,conservative,mass,0.06493816315762113,0.07498942093324558,0.06978305848598663,0.3893259514547991,0.4928147651794178,72424,20,0.01
F,conservative,mass,0.07498942093324558,0.08659643233600653,0.08058421877614817,0.4442597921937715,0.5623508639753474,72424,20,0.01
F,conservative,mass,0.08659643233600653,0.1,0.09305720409296989,0.5341768446857293,0.6761692491712654,72424,20,0.01
F,conservative,mass,0.1,0.11547819846894582,0.10746078283213176,0.6326957084283084,0.8008759390788325,72424,20,0.01
F,conservative,mass,0.11547819846894582,0.1333521432163324,0.12409377607517195,0.7187268997628133,0.9097755415769259,72424,20,0.01
F,conservative,mass,0.1333521432163324,0.1539926526059492,0.14330125702369628,0.7900046406139195,1.0,72424,20,0.01
F,conservative,mass,0.1539926526059492,0.1778279410038923,0.16548170999431816,0.7779417912571034,0.9847306601294874,72424,20,0.01
F,conservative,mass,0.1778279410038923,0.2053525026457146,0.19109529749704407,0.672452221411325,0.8512003434419784,72424,20,0.01
F,conservative,mass,0.2053525026457146,0.23713737056616552,0.220673406908459,0.44789918348971003,0.5669576613393608,72424,20,0.01
F,conservative,mass,0.23713737056616552,0.27384196342643613,0.25482967479793467,0.09734663899373534,0.12322286982781065,72424,20,0.01
F,conservative,mass,0.27384196342643613,0.31622776601683794,0.2942727176209282,0.0,0.0,72424,20,0.01
F,conservative,mass,0.31622776601683794,0.3651741272548377,0.33982083289425596,0.0,0.0,72424,20,0.01
F,conservative,mass,0.3651741272548377,0.4216965034285822,0.3924189758484536,0.0,0.0,72424,20,0.01
F,conservative,mass,0.4216965034285822,0.4869675251658631,0.4531583637600818,0.0,0.0,72424,20,0.01
F,conservative,mass,0.4869675251658631,0.5623413251903491,0.5232991146814947,0.0,0.0,72424,20,0.01
